ClimNo,StasName,Latitude,Longitude,Date,Rain.mm,Tmax,Tmin,Numb
317474.1,UPINGTON.WK,-28.4,21.27, 11/27/70,0,33.5,15.5,696
317474.1,UPINGTON.WK,-28.4,21.27, 11/28/70,0,31.8,15.3,697
317474.1,UPINGTON.WK,-28.4,21.27, 11/29/70,0,32.3,13.3,698
317474.1,UPINGTON.WK,-28.4,21.27, 11/30/70,0,34,15.7,699
317474.1,UPINGTON.WK,-28.4,21.27, 12/1/70,0,38.6,17.8,700
317474.1,UPINGTON.WK,-28.4,21.27, 12/2/70,0,37,24.2,701
317474.1,UPINGTON.WK,-28.4,21.27, 12/3/70,0,38,21.7,702
317474.1,UPINGTON.WK,-28.4,21.27, 12/4/70,0,33.7,19,703
317474.1,UPINGTON.WK,-28.4,21.27, 12/5/70,0,23.5,14.3,704
317474.1,UPINGTON.WK,-28.4,21.27, 12/6/70,0,17.1,5.8,705
317474.1,UPINGTON.WK,-28.4,21.27, 12/7/70,0,22.2,6.1,706
317474.1,UPINGTON.WK,-28.4,21.27, 12/8/70,0,29,9.2,707
317474.1,UPINGTON.WK,-28.4,21.27, 12/9/70,0,29,13,708
317474.1,UPINGTON.WK,-28.4,21.27, 12/10/70,0,34.7,13.5,709
317474.1,UPINGTON.WK,-28.4,21.27, 12/11/70,0,38.2,15.8,710
317474.1,UPINGTON.WK,-28.4,21.27, 12/12/70,0,38.5,19.4,711
317474.1,UPINGTON.WK,-28.4,21.27, 12/13/70,0,32.9,19.8,712
317474.1,UPINGTON.WK,-28.4,21.27, 12/14/70,0,32.2,15.3,713
317474.1,UPINGTON.WK,-28.4,21.27, 12/15/70,0,37.2,14.8,714
317474.1,UPINGTON.WK,-28.4,21.27, 12/16/70,0,38.5,16.5,715
317474.1,UPINGTON.WK,-28.4,21.27, 12/17/70,0,39.7,19.8,716
317474.1,UPINGTON.WK,-28.4,21.27, 12/18/70,0,38.7,21.7,717
317474.1,UPINGTON.WK,-28.4,21.27, 12/19/70,5.3,35.8,24.1,718
317474.1,UPINGTON.WK,-28.4,21.27, 12/20/70,0,31.4,15.6,719
317474.1,UPINGTON.WK,-28.4,21.27, 12/21/70,0,31.7,13.7,720
317474.1,UPINGTON.WK,-28.4,21.27, 12/22/70,0,36.4,14.8,721
317474.1,UPINGTON.WK,-28.4,21.27, 12/23/70,6.1,37.1,20.4,722
317474.1,UPINGTON.WK,-28.4,21.27, 12/24/70,4.5,29.8,18,723
317474.1,UPINGTON.WK,-28.4,21.27, 12/25/70,0,31.2,19.8,724
317474.1,UPINGTON.WK,-28.4,21.27, 12/26/70,0,35.4,18.2,725
317474.1,UPINGTON.WK,-28.4,21.27, 12/27/70,0,34.3,20.5,726
317474.1,UPINGTON.WK,-28.4,21.27, 12/28/70,0,34.2,18.8,727
317474.1,UPINGTON.WK,-28.4,21.27, 12/29/70,0,33.2,18.9,728
317474.1,UPINGTON.WK,-28.4,21.27, 12/30/70,0,31.4,16.7,729
317474.1,UPINGTON.WK,-28.4,21.27, 12/31/70,0,29,14.4,730
