dates,DOY,YEAR,DAY,TIME,TC,SHADE,SOLAR,DEP,ACT,TA,TSUB,TSKY,VEL,RELHUM,ZEN,DAYLENGTH,ABSAN,PTCOND,POSTURE,PANT,O2_ml,H2OResp_g,H2OCut_g
07/01/69 15:00,182,1,1,15,28.27463605,0,175.0338866,0,2,26.62732539,30.41405862,13.26080759,0.204902313,26.53821804,80.02438842,10.3433164,0.85,0.1,0,1,0.330348197,0,0.005992661
07/01/69 16:00,182,1,1,16,14.19986668,0,0,0,2,15.00143311,18.00088119,2.769587675,0.156805988,58.55487117,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.001130021
07/01/69 17:00,182,1,1,17,11.65779483,0,0,0,2,12.5105524,14.74561474,1.044348205,0.120832785,72.92740784,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000524331
07/01/69 18:00,182,1,1,18,10.57695411,0,0,0,2,11.54734939,13.81616768,-0.398105834,0.081684285,80.20452671,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000276123
07/01/69 19:00,182,1,1,19,9.837363735,0,0,0,2,10.90735862,13.19921048,-1.659480292,0.06548789,78.78009447,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000263708
07/01/69 20:00,182,1,1,20,9.14006238,0,0,0,2,10.17064928,12.44346323,-2.527825029,0.080266155,79.8864448,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000249776
07/01/69 21:00,182,1,1,21,8.582826409,0,0,0,2,9.569314268,11.76957948,-3.151366668,0.09820488,81.3971788,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000231573
07/01/69 22:00,182,1,1,22,8.048152445,0,0,0,2,8.987168923,11.10441518,-3.709299511,0.119668012,82.91265073,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000213557
07/01/69 23:00,182,1,1,23,7.448428613,0,0,0,2,8.371954945,10.36735134,-4.321878901,0.130594601,84.1428972,90,10.3433164,0.85,0.1,0,1,0.330348197,0,0.000189214
07/02/69 0:00,183,1,2,0,9.545930634,0,0,0,2,10.46194283,10.05733685,0.238115374,0.164932247,69.25779457,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000590669
07/02/69 1:00,183,1,2,1,9.591734715,0,0,0,2,10.4950056,10.54219115,-0.52215646,0.186529071,65.2593309,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000720738
07/02/69 2:00,183,1,2,2,9.038135587,0,0,0,2,9.906652009,9.899776066,-1.285017745,0.221304583,64.43609552,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000765628
07/02/69 3:00,183,1,2,3,8.512949128,0,0,0,2,9.379085365,9.300209309,-1.963499684,0.233066122,63.67016608,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000773642
07/02/69 4:00,183,1,2,4,8.120480214,0,0,0,2,8.962059672,8.703835611,-2.445882127,0.268351495,62.69367884,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000824856
07/02/69 5:00,183,1,2,5,7.939357272,0,0,0,2,8.761446439,8.196225125,-2.635729687,0.30924029,61.00701737,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000911785
07/02/69 6:00,183,1,2,6,12.22542026,0,57.85798409,0,2,12.39895344,10.02625226,2.065184668,0.352968927,46.01619923,84.28094812,10.34267391,0.85,0.1,0,1,0.330348197,0,0.001824056
07/02/69 7:00,183,1,2,7,16.54269103,0,227.110031,0,2,14.79513308,13.31403145,3.196711815,0.397552524,37.89238797,73.12014491,10.34267391,0.85,0.1,0,1,0.330348197,0,0.003372148
07/02/69 8:00,183,1,2,8,21.72493667,0,431.3901221,0,2,17.96343275,17.13001344,5.309057319,0.438113264,29.99295848,63.30692265,10.34267391,0.85,0.1,0,1,0.330348197,0,0.005744943
07/02/69 9:00,183,1,2,9,27.05973624,0,624.4045632,0,2,21.55742226,21.13927501,8.055294037,0.46957356,23.55294048,55.57260323,10.34267391,0.85,0.1,0,1,0.330348197,0,0.008970594
07/02/69 10:00,183,1,2,10,30.3522981,0,697.0904004,0,2,24.29476918,23.67573505,10.53550725,0.487079864,19.98633367,50.88332789,10.34267391,0.85,0.1,0,1,0.330348197,0,0.011436586
07/02/69 11:00,183,1,2,11,32.0918996,0,706.3614202,0,2,25.99370994,24.85447504,12.4148539,0.485839999,18.5727085,50.10632233,10.34267391,0.85,0.1,0,1,0.330348197,0,0.012748177
07/02/69 12:00,183,1,2,12,32.49850511,0,654.1468074,0,2,26.81296694,25.41712218,13.48680623,0.461060571,18.74767423,53.41329654,10.34267391,0.85,0.1,0,1,0.330348197,0,0.012660586
07/02/69 13:00,183,1,2,13,31.58690326,0,544.4444694,0,2,26.75945935,25.49204101,13.70189827,0.410305273,20.4723949,60.13148854,10.34267391,0.85,0.1,0,1,0.330348197,0,0.011131737
07/02/69 14:00,183,1,2,14,29.59480517,0,385.0799579,0,2,26.14208694,25.55951948,13.11245347,0.340638862,23.3687662,69.27007227,10.34267391,0.85,0.1,0,1,0.330348197,0,0.008702632
07/02/69 15:00,183,1,2,15,25.04417175,0,179.0333702,0,2,23.73366173,22.89516612,11.78423886,0.261552953,29.58257265,79.99630591,10.34267391,0.85,0.1,0,1,0.330348197,0,0.005170859
07/02/69 16:00,183,1,2,16,14.29667064,0,0,0,2,15.30199744,14.98086811,4.052656478,0.182338573,54.0234407,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.001347681
07/02/69 17:00,183,1,2,17,12.76455607,0,0,0,2,13.82412549,13.54006029,3.306702529,0.113720421,62.9041103,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000796335
07/02/69 18:00,183,1,2,18,12.17104799,0,0,0,2,13.31427612,13.47137341,2.734468472,0.06796522,66.92044654,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000560948
07/02/69 19:00,183,1,2,19,11.85712474,0,0,0,2,13.07620891,13.51098634,2.305152453,0.045456901,67.72201819,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000473324
07/02/69 20:00,183,1,2,20,11.60103575,0,0,0,2,12.86647899,13.39788376,1.910397214,0.037523392,66.62416061,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000461331
07/02/69 21:00,183,1,2,21,11.26066152,0,0,0,2,12.49152649,12.97660465,1.349982928,0.04866828,65.02321211,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000512338
07/02/69 22:00,183,1,2,22,10.74930462,0,0,0,2,11.93957558,12.24774699,0.41392398,0.071805085,63.50633874,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000583789
07/02/69 23:00,183,1,2,23,10.09682656,0,0,0,2,11.27554048,11.31813681,-0.903447652,0.100809068,62.39765579,90,10.34267391,0.85,0.1,0,1,0.330348197,0,0.000645176
07/03/69 0:00,184,1,3,0,8.190610778,0,0,0,2,9.383529647,10.87183744,-5.679941314,0.121011723,67.273788,90,10.34258974,0.85,0.1,0,1,0.330348197,0,0.000504649
07/03/69 1:00,184,1,3,1,6.782405339,0,0,0,2,7.979503051,8.836175323,-7.364476501,0.146065391,71.79702397,90,10.34258974,0.85,0.1,0,1,0.330348197,0,0.000401188
07/03/69 2:00,184,1,3,2,5.944916731,0,0,0,2,7.118009482,7.770242311,-8.869178716,0.182662709,75.36112524,90,10.34258974,0.85,0.1,0,1,0.330348197,0,0.00034195
07/03/69 3:00,184,1,3,3,5.353747165,0,0,0,2,6.517142103,7.068938928,-9.933246069,0.204995275,78.77048323,90,10.34258974,0.85,0.1,0,1,0.330348197,0,0.00027573
07/03/69 4:00,184,1,3,4,4.979216152,0,0,0,2,6.144935564,6.555530438,-10.34295552,0.208985967,81.58473984,90,10.34258974,0.85,0.1,0,1,0.330348197,0,0.000215219
07/03/69 5:00,184,1,3,5,4.915485034,0,0,0,2,6.041862453,6.218829079,-10.11200091,0.230438143,82.91020948,90,10.34258974,0.85,0.1,0,1,0.330348197,0,0.00019984
07/03/69 6:00,184,1,3,6,9.690620498,0,56.99613524,0,2,10.09973198,8.346847727,-4.343595962,0.256050922,63.01660144,84.31893185,10.34258974,0.85,0.1,0,1,0.330348197,0,0.000909614
07/03/69 7:00,184,1,3,7,14.74697616,0,224.4580353,0,2,12.98452923,12.23763793,-2.453119769,0.289715788,51.57241698,73.15545357,10.34258974,0.85,0.1,0,1,0.330348197,0,0.002147078
07/03/69 8:00,184,1,3,8,20.67218174,0,426.0155715,0,2,16.846544,16.89865958,0.489082681,0.363157905,39.59302642,63.33784146,10.34258974,0.85,0.1,0,1,0.330348197,0,0.004492513
